B001,,,45,1744452000,1744454700,1
B002,,,30,1744455000,1744456800,0
B003,,,60,1744460400,1744464000,0
B004,,,120,1744464000,1744471200,2
B005,,,25,1744448400,1744449900,3
B6,,,30,1779889428,1779889450,2
B7,,,30,1779893808,1779895608,0
B8,,,10,1779893856,1779894439,1
B9,,,10,1779904491,1779904508,2
B10,,,10,1779904590,1779905190,0
B11,,,10,1779905934,1779905944,2
B12,,,30,1779906067,1779906088,2
B13,,,30,1779907652,1779907675,2
B14,,,20,1779908042,1779909242,0
B15,,,30,1779908487,1779908499,2
B16,,,30,1779908533,1779910333,0
B17,ST003,U006,30,1779911600,1779913400,0
